repo_full,month,alert_type,severity,metric,value,threshold,reason
AUTOMATIC1111/stable-diffusion-webui,2023-03,Issue积压严重,红,backlog_end,249.0,50,新增-关闭>50，积压上升
ArduPilot/ardupilot,2023-03,Issue积压上升,黄,backlog_end,36.0,10,新增>关闭，积压开始累积
Automattic/jetpack,2023-03,Issue积压严重,红,backlog_end,53.0,50,新增-关闭>50，积压上升
Automattic/wp-calypso,2023-03,Issue积压上升,黄,backlog_end,34.0,10,新增>关闭，积压开始累积
Azure/azure-cli,2023-03,Issue积压严重,红,backlog_end,52.0,50,新增-关闭>50，积压上升
Azure/azure-powershell,2023-03,Issue积压上升,黄,backlog_end,41.0,10,新增>关闭，积压开始累积
Azure/azure-sdk-for-java,2023-03,Issue积压上升,黄,backlog_end,15.0,10,新增>关闭，积压开始累积
ClickHouse/ClickHouse,2023-03,Issue积压严重,红,backlog_end,113.0,50,新增-关闭>50，积压上升
Expensify/App,2023-03,Issue积压严重,红,backlog_end,322.0,50,新增-关闭>50，积压上升
JuliaLang/julia,2023-03,Issue积压上升,黄,backlog_end,31.0,10,新增>关闭，积压开始累积
LeetCode-Feedback/LeetCode-Feedback,2023-03,Issue积压上升,黄,backlog_end,22.0,10,新增>关闭，积压开始累积
Lightning-AI/lightning,2023-03,Issue积压上升,黄,backlog_end,27.0,10,新增>关闭，积压开始累积
MarlinFirmware/Marlin,2023-03,Issue积压上升,黄,backlog_end,14.0,10,新增>关闭，积压开始累积
MetaMask/eth-phishing-detect,2023-03,Issue积压上升,黄,backlog_end,43.0,10,新增>关闭，积压开始累积
MetaMask/metamask-extension,2023-03,Issue积压上升,黄,backlog_end,49.0,10,新增>关闭，积压开始累积
MicrosoftDocs/microsoft-365-docs,2023-03,Issue积压上升,黄,backlog_end,40.0,10,新增>关闭，积压开始累积
MicrosoftDocs/msteams-docs,2023-03,Issue积压上升,黄,backlog_end,13.0,10,新增>关闭，积压开始累积
NixOS/nixpkgs,2023-03,Issue积压上升,黄,backlog_end,45.0,10,新增>关闭，积压开始累积
OpenAPITools/openapi-generator,2023-03,Issue积压上升,黄,backlog_end,40.0,10,新增>关闭，积压开始累积
PaddlePaddle/Paddle,2023-03,Issue积压上升,黄,backlog_end,26.0,10,新增>关闭，积压开始累积
PaddlePaddle/PaddleOCR,2023-03,Issue积压严重,红,backlog_end,107.0,50,新增-关闭>50，积压上升
PixelExperience/android-issues,2023-03,Issue积压上升,黄,backlog_end,23.0,10,新增>关闭，积压开始累积
Regalis11/Barotrauma,2023-03,Issue积压严重,红,backlog_end,99.0,50,新增-关闭>50，积压上升
SerenityOS/serenity,2023-03,Issue积压上升,黄,backlog_end,27.0,10,新增>关闭，积压开始累积
ShadowMario/FNF-PsychEngine,2023-03,Issue积压严重,红,backlog_end,60.0,50,新增-关闭>50，积压上升
TeamNewPipe/NewPipe,2023-03,Issue积压严重,红,backlog_end,77.0,50,新增-关闭>50，积压上升
Ultimaker/Cura,2023-03,Issue积压严重,红,backlog_end,212.0,50,新增-关闭>50，积压上升
ValveSoftware/Dota2-Gameplay,2023-03,Issue积压严重,红,backlog_end,478.0,50,新增-关闭>50，积压上升
ValveSoftware/Proton,2023-03,Issue积压上升,黄,backlog_end,39.0,10,新增>关闭，积压开始累积
airbytehq/airbyte,2023-03,Issue积压严重,红,backlog_end,125.0,50,新增-关闭>50，积压上升
angular/angular,2023-03,Issue积压上升,黄,backlog_end,20.0,10,新增>关闭，积压开始累积
angular/components,2023-03,Issue积压上升,黄,backlog_end,35.0,10,新增>关闭，积压开始累积
ankidroid/Anki-Android,2023-03,Issue积压上升,黄,backlog_end,20.0,10,新增>关闭，积压开始累积
apache/airflow,2023-03,Issue积压上升,黄,backlog_end,35.0,10,新增>关闭，积压开始累积
apache/apisix,2023-03,Issue积压上升,黄,backlog_end,31.0,10,新增>关闭，积压开始累积
apache/arrow,2023-03,Issue积压上升,黄,backlog_end,42.0,10,新增>关闭，积压开始累积
apache/beam,2023-03,Issue积压上升,黄,backlog_end,14.0,10,新增>关闭，积压开始累积
apache/dolphinscheduler,2023-03,Issue积压上升,黄,backlog_end,13.0,10,新增>关闭，积压开始累积
apache/doris,2023-03,Issue积压严重,红,backlog_end,67.0,50,新增-关闭>50，积压上升
