repo_full,org,repo,month,openrank
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-08,6.09
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-09,335.01
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-10,858.02
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-11,763.82
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-12,662.23
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-01,736.33
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-02,650.07
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-03,736.73
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-01,2.07
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-02,2.78
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-03,3.93
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-04,3.72
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-05,4.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-06,4.06
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-07,4.52
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-08,4.0
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-09,4.94
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-10,6.0
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-11,7.63
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2015-12,11.25
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-01,15.55
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-02,22.32
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-03,25.47
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-04,26.68
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-05,31.84
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-06,38.5
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-07,44.71
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-08,49.99
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-09,52.83
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-10,49.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-11,56.23
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-12,68.12
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-01,73.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-02,74.32
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-03,68.03
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-04,68.63
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-05,75.38
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-06,77.12
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-07,82.9
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-08,85.63
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-09,93.74
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-10,92.14
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-11,98.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-12,118.65
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-01,140.84
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-02,166.08
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-03,186.04
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-04,201.21
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-05,227.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-06,234.05
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-07,254.44
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-08,262.79
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-09,280.48
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-10,275.73
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-11,270.52
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-12,276.13
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-01,270.72
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-02,279.68
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-03,286.44
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-04,301.42
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-05,296.14
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-06,309.54
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-07,333.43
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-08,349.53
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-09,346.93
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-10,367.03
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-11,388.94
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-12,385.75
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-01,398.54
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-02,396.48
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-03,417.07
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-04,435.69
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-05,442.09
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-06,463.35
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-07,465.5
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-08,481.35
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-09,487.4
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-10,515.19
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-11,526.35
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-12,528.85
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-01,549.93
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-02,554.75
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-03,567.07
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-04,568.02
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-05,571.8
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-06,568.7
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-07,547.59
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-08,539.87
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-09,526.7
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-10,501.18
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-11,500.6
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-12,503.49
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-01,516.89
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-02,509.79
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-03,484.81
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-04,509.88
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-05,513.91
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-06,502.52
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-07,486.69
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-08,493.47
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-09,494.93
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-10,510.21
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-11,508.44
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2022-12,511.86
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-01,514.37
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-02,499.68
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2023-03,503.27
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-01,38.07
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-02,46.24
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-03,61.35
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-04,75.07
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-05,84.79
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-06,85.04
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-07,90.57
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-08,94.28
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-09,103.93
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-10,114.17
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-11,126.81
ArduPilot/ardupilot,ArduPilot,ardupilot,2015-12,130.62
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-01,125.96
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-02,120.58
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-03,137.51
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-04,137.21
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-05,149.63
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-06,149.36
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-07,148.42
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-08,160.48
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-09,148.47
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-10,160.65
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-11,171.89
ArduPilot/ardupilot,ArduPilot,ardupilot,2016-12,171.22
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-01,158.19
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-02,156.7
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-03,163.84
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-04,168.08
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-05,181.02
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-06,186.37
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-07,182.77
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-08,187.05
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-09,195.18
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-10,185.62
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-11,184.76
ArduPilot/ardupilot,ArduPilot,ardupilot,2017-12,179.49
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-01,179.16
ArduPilot/ardupilot,ArduPilot,ardupilot,2018-02,196.62
