repo_full,org,repo,month,change_requests,change_request_response_time,change_request_resolution_duration
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-08,12.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-09,266.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-10,517.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-11,200.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2022-12,123.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-01,191.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-02,102.0,,
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,2023-03,141.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-02,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-08,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-11,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2016-12,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-02,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-03,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-07,2.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-08,3.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-09,5.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-10,4.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2017-11,3.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-01,2.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-02,5.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-05,6.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-06,4.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-07,2.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-08,4.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-09,6.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-10,5.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-11,33.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2018-12,32.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-01,42.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-02,110.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-03,64.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-04,49.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-05,1.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-06,65.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-07,303.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-08,246.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-09,210.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-10,121.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-11,40.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2019-12,95.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-01,95.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-02,102.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-03,97.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-04,115.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-05,79.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-06,56.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-07,144.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-08,235.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-09,141.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-10,36.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-11,39.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2020-12,243.0,,
AdguardTeam/AdguardFilters,AdguardTeam,AdguardFilters,2021-01,400.0,,
